Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_02_00_13,0,0,81,20
2023_06_02_00_13,0,0,81,21
2023_06_02_00_14,0,0,81,22
2023_06_02_00_14,0,0,81,22
2023_06_02_00_15,0,0,82,23
2023_06_02_00_15,0,0,82,23
2023_06_02_00_16,0,0,81,23
2023_06_02_00_16,0,0,81,24
2023_06_02_00_17,0,0,82,24
2023_06_02_00_17,0,0,82,24
2023_06_02_00_18,0,0,81,24
2023_06_02_00_18,0,0,82,24
2023_06_02_00_19,0,0,82,25
2023_06_02_00_19,0,0,81,25
2023_06_02_00_20,0,0,81,26
2023_06_02_00_20,0,0,81,26
2023_06_02_00_21,0,0,81,25
2023_06_02_00_21,0,0,82,25
2023_06_02_00_22,0,0,81,25
2023_06_02_00_22,0,0,81,25
2023_06_02_00_23,0,0,81,25
2023_06_02_00_23,0,0,82,25
2023_06_02_00_24,0,0,81,25
2023_06_02_00_24,0,0,81,25
2023_06_02_00_25,0,0,81,24
2023_06_02_00_25,0,0,81,25
2023_06_02_00_26,0,0,82,25
2023_06_02_00_26,0,0,81,25
2023_06_02_00_27,0,0,81,24
2023_06_02_00_27,0,0,82,24
2023_06_02_00_28,0,0,82,24
2023_06_02_00_28,0,0,81,24
2023_06_02_00_29,0,0,82,24
2023_06_02_00_29,0,0,81,25
2023_06_02_00_30,0,0,82,26
2023_06_02_00_30,0,0,82,26
2023_06_02_00_31,0,0,82,26
2023_06_02_00_31,0,0,81,27
2023_06_02_00_32,0,0,81,27
2023_06_02_00_32,0,0,82,28
2023_06_02_00_33,0,0,81,29
2023_06_02_00_33,0,0,82,30
2023_06_02_00_34,0,0,82,30
2023_06_02_00_34,0,0,81,31
2023_06_02_00_35,0,0,82,32
2023_06_02_00_35,0,0,82,33
2023_06_02_00_36,0,0,81,34
2023_06_02_00_36,0,0,81,35
2023_06_02_00_37,0,0,82,35
2023_06_02_00_37,0,0,81,36
2023_06_02_00_38,0,0,81,36
2023_06_02_00_38,0,0,81,36
2023_06_02_00_39,0,0,82,36
2023_06_02_00_39,0,0,81,36
2023_06_02_00_40,0,0,81,35
2023_06_02_00_40,0,0,81,35
2023_06_02_00_41,0,0,82,35
2023_06_02_00_41,0,0,81,34
2023_06_02_00_42,0,0,81,34
2023_06_02_00_42,0,0,81,34
